title,price,OS,SSD,Display,In_build_sw,warranty,id_laptop,RAM_GB,RAM_Type,Proc_Manufacturer,Proc_Series,Proc_Generation,Proc_Cores
Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7-5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphi...,70990,64 bit Windows 11 Operating System,512,39.62 cm (15.6 Inch) Display,Office Home and Student 2021,1 Year Onsite�Warranty�+ 1 Year Premium Care + 1 Year Accidental Damage Protection,39,16,DDR4,AMD,Ryzen 7,,8.0
MSI Bravo 15 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeo...,49990,64 bit Windows 11 Operating System,512,39.62 cm (15.6 inch) Display,,1 Year Warranty,40,8,DDR4,AMD,Ryzen 5,,6.0
ASUS Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) X515EA-EJ701WS Thin and Light Laptop,54990,Windows 11 Operating System,512,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,41,16,DDR4,Intel,Core i7,11.0,
ASUS Vivobook Pro 15 Ryzen 7 Octa Core AMD R7-4800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/...,58990,64 bit Windows 11 Operating System,512,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty,42,16,DDR4,AMD,Ryzen 7,,8.0
HP Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Laptop,36990,64 bit Windows 11 Operating System,512,39.62 cm (15.6 inch) Display,"Microsoft Office 2019 & Office 365, HP Documentation, HP BIOS recovery, HP Smart",1 Year Onsite Warranty,43,8,DDR4,AMD,Ryzen 3,,4.0
ASUS Vivobook S14 OLED (2022) Intel EVO Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-...,70990,64 bit Windows 11 Operating System,512,35.56 cm (14 Inch) Display,,1 Year Onsite Warranty,44,16,DDR4,Intel,Core i5,12.0,
HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,45123,64 bit Windows 11 Operating System,512,39.62 cm (15.6 inch) Display,"Microsoft Office Home 2019 & Office 365, HP Documentation, HP SSRM, HP Smart",1 Year Onsite Warranty,45,8,DDR4,AMD,Ryzen 5,,6.0
MSI Katana GF66 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX ...,85990,64 bit Windows 10 Operating System,512,39.62 cm (15.6 inch) Display,,2 Year Carry-In Warranty Term,46,16,DDR4,Intel,Core i7,11.0,
HP 14s Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14s - dy5005TU Thin and Light Lapto...,58499,64 bit Windows 11 Operating System,512,35.56 cm (14 inch) Display,Microsoft Office Home & Student 2021,1 Year Onsite Warranty,47,16,DDR4,Intel,Core i5,12.0,
ASUS VivoBook K15 OLED (2022) Core i5 11th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 11 Home) K513EA-L5...,64990,64 bit Windows 11 Operating System,256,39.62 cm (15.6 inch) Display,Office Home and Student 2021,1 Year Onsite Warranty,48,16,DDR4,Intel,Core i5,11.0,
HP Pavilion Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-dv2014TU Thin and Light Lap...,68990,64 bit Windows 11 Operating System,512,35.56 cm (14 inch) Display,"Microsoft Office Home & Student 2021, HP Documentation, HP BIOS recovery, HP Smart",1 Year Onsite Warranty,49,16,DDR4,Intel,Core i5,12.0,
HP G8 Ryzen 3 Dual Core AMD Ryzen 3 3250U - (8 GB/512 GB SSD/Windows 11 Home) 245 G8 Business Laptop,28490,Windows 11 Operating System,512,35.56 cm (14 inch) Display,,1 Year Onsite Warranty,50,8,DDR4,AMD,Ryzen 3,,2.0
ASUS TUF Dash F15 (2022) Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,76990,Windows 11 Operating System,512,39.62 cm (15.6 inch) Display,Microsoft Office Home & Student,1 Year Onsite Warranty,51,8,DDR5,Intel,Core i5,12.0,
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop,36490,64 bit Windows 11 Operating System,256,35.56 cm (14 inch) Display,Office Home and Student 2021,2 Year Onsite�Warranty,52,8,DDR4,Intel,Core i3,11.0,
ASUS Vivobook 14 (2022) Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1402ZA-EK521WS Thin and ...,53990,Windows 11 Operating System,512,35.56 cm (14 inch) Display,Microsoft Office Home & Student 2021,1 Year Onsite Warranty,53,8,DDR4,Intel,Core i5,12.0,
HP Pavilion Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) EG2036TU Thin and Light Laptop,69990,64 bit Windows 11 Operating System,512,39.62 cm (15.6 inch) Display,Microsoft Office Home & Student 2021,1 Year Onsite Warranty,54,16,DDR4,Intel,Core i5,12.0,
ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7-5700U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L71...,56990,64 bit Windows 11 Operating System,512,39.62 cm (15.6 Inch) Display,,1 Year onsite warranty,56,16,DDR4,AMD,Ryzen 7,,8.0
Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop,33990,Windows 11 Operating System,256,39.62 cm (15.6 Inch) Display,,1 Year Carry-in Warranty,57,8,DDR4,Intel,Core i3,10.0,
ASUS Vivobook Pro 15 OLED Ryzen 7 Octa Core AMD R7-4800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Grap...,64990,64 bit Windows 11 Operating System,512,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty,58,16,DDR4,AMD,Ryzen 7,,8.0
ASUS TUF Dash F15 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX ...,95990,64 bit Windows 11 Operating System,1024,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,59,16,DDR5,Intel,Core i7,12.0,
Lenovo Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL05 Thin and Light Laptop,33990,64 bit Windows 11 Operating System,256,39.62 cm (15.6 Inch) Display,,2 Years Onsite�Warranty,60,8,DDR4,Intel,Core i3,11.0,
