title,price,Processor,RAM,OS,SSD,Display,In_build_sw,warranty,id_laptop
Lenovo IdeaPad Gaming Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,90990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidentaly Damage Protection,488
ASUS TUF Gaming A17 Ryzen 7 Octa Core 4800H - (8 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,83990,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB SSD,43.94 cm (17.3 Inch) Display,,1 Year Onsite Warranty,489
ASUS Ryzen 3 Dual Core - (8 GB/256 GB SSD/Windows 11 Home) X512DA-BQ303WS Laptop,34490,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,256 GB SSD,39.62 cm (15.6 inch) Display,,1 Year,490
ASUS Zenbook Pro 14 Duo OLED (2022) with Dual Screen Touch Panel Core i9 12th Gen - (32 GB/1 TB SSD/Wi...,179990,Intel Core i9 Processor (12th Gen),32 GB LPDDR5 RAM,Windows 11 Operating System,1 TB SSD,36.83 cm (14.5 inch) Touchscreen Display,Microsoft Office Home & Student 2021,1 Year Onsite Warranty,491
ASUS Core i5 10th Gen - (8 GB/1 TB SSD/Windows 11 Home/4 GB Graphics) FX506LHB - HN357W Laptop,67461,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows 11 Operating System,1 TB SSD,39.62 cm (15.6 inch) Display,,1 YEAR,492
ASUS ExpertBook P1 Core i5 10th Gen - (4 GB/1 TB HDD/Windows 10 Pro) ExpertBook P1 P1440FA Thin and Li...,61249,Intel Core i5 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,35.56 cm (14 inch) Display,,1 Year Manufacturer Warranty on the Device and 6 Months Manufacturer Warranty on Included Accessories from the Date of Purchase,493
HP Pavilion Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14-ek0086TU Thin and Light Laptop,73999,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 inch) Display,Microsoft Office Home & Student 2021,1 Year Onsite Warranty,494
DELL G15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz) ...,71990,NVIDIA GeForce GTX 1650,"15.6 inches Full HD, 2-sided narrow bezel, 120Hz, 250 Nits",Improved thermal design with copper pipes & vents,Game shift key for Turbo boost of power,In-built Alienware Command center software with enhanced control over system settings,,Intel Core i5 Processor (10th Gen),495
Infinix INBook X2 Plus Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL25 Thin and Light Laptop,40990,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty,138
Lenovo Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15IAL7 Thin and Light Laptop,72490,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,,1 Year Onsite warranty + 1 Year Accidental Damage Protection + 1 Year Premium Care,496
HP OMEN 15 Ryzen 7 Octa Core AMD R7-5800H - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeFor...,152000,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD,39.62 cm (15.6 inch) Display,"HP Documentation, HP e-service, HP BIOS Recovery, HP SSRM, HP Smart, HP Jumpstarts, HP Support Assistant",1 Year Onsite Warranty,497
ASUS Vivobook Ultra K15 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) K513EA-L303WS K513E Thin ...,42990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,39.62 cm (15.6 inch) Display,"Windows 11 Home, Microsoft Office Home & Student 2021, 1 Year Mcafee",1 Year Onsite Warranty,498
HP OMEN Ryzen 7 Octa Core AMD R7-5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,99990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,40.89 cm (16.1 Inch) Display,,1 Year Onsite Warranty,499
HP Victus Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060) ...,104890,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,40.89 cm (16.1 inch) Display,Microsoft Office Home & Student 2019,1 Year Onsite Warranty,500
HP Intel Core i5 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics) 15-ep0011TX Laptop,97500,Intel Core i5 Processor (10th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,Microsoft Office Home and Student 2019,1 Year Onsite Warranty,501
HP 14s Intel Pentium Quad Core - (8 GB/256 GB SSD/Windows 11 Home) 14s-dq3033tu Thin and Light Laptop,30490,Intel Pentium Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,35.56 cm (14 inch) Display,"Microsoft Office Home & Student 2019, HP Documentation",1 Year Onsite Warranty,502
DELL Inspiron Core i3 11th Gen - (4 GB/512 GB SSD/Windows 10) Inspiron 3501 Thin and Light Laptop,45990,Intel Core i3 Processor (11th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,Microsoft Office Home and Student 2019,1 Year Onsite Warranty,503
acer Aspire 3 Ryzen 3 Dual Core R33250U - (4 GB/512 GB SSD/Windows 11 Home) A315-23 Notebook,29990,AMD Ryzen 3 Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,,1 Year International Travelers Warranty,504
