title,price,SSD,In_build_sw,id_laptop,RAM_GB,RAM_Type,Proc_Manufacturer,Proc_Series,Proc_Generation,Proc_Cores,OS_Name,OS_Bitness,Display_inch,Touchscreen,Warranty_Years,Warranty_Type,average_rating
HP 14s Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14s - dy5005TU Thin and Light Lapto...,58499,512,Microsoft Office Home & Student 2021,47,16,1,2,3,12.0,8.0,3,64.0,14.0,0,1,2,3.8
ASUS VivoBook K15 OLED (2022) Core i5 11th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 11 Home) K513EA-L5...,64990,256,Office Home and Student 2021,48,16,1,2,3,11.0,8.0,3,64.0,15.6,0,1,2,3.671641791044776
HP Pavilion Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-dv2014TU Thin and Light Lap...,68990,512,"Microsoft Office Home & Student 2021, HP Documentation, HP BIOS recovery, HP Smart",49,16,1,2,3,12.0,8.0,3,64.0,14.0,0,1,2,4.057971014492754
HP G8 Ryzen 3 Dual Core AMD Ryzen 3 3250U - (8 GB/512 GB SSD/Windows 11 Home) 245 G8 Business Laptop,28490,512,,50,8,1,0,10,,2.0,3,64.0,14.0,0,1,2,3.7037037037037037
ASUS TUF Dash F15 (2022) Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,76990,512,Microsoft Office Home & Student,51,8,2,2,3,12.0,8.0,3,64.0,15.6,0,1,2,3.642857142857143
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop,36490,256,Office Home and Student 2021,52,8,1,2,2,11.0,8.0,3,64.0,14.0,0,2,2,3.475
ASUS Vivobook 14 (2022) Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1402ZA-EK521WS Thin and ...,53990,512,Microsoft Office Home & Student 2021,53,8,1,2,3,12.0,8.0,3,64.0,14.0,0,1,2,3.4430379746835444
HP Pavilion Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) EG2036TU Thin and Light Laptop,69990,512,Microsoft Office Home & Student 2021,54,16,1,2,3,12.0,8.0,3,64.0,15.6,0,1,2,3.888888888888889
ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7-5700U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L71...,56990,512,,56,16,1,0,12,,8.0,3,64.0,15.6,0,1,2,3.6666666666666665
Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop,33990,256,,57,8,1,2,2,10.0,8.0,3,64.0,15.6,0,1,3,
ASUS Vivobook Pro 15 OLED Ryzen 7 Octa Core AMD R7-4800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Grap...,64990,512,,58,16,1,0,12,,8.0,3,64.0,15.6,0,1,2,3.608695652173913
ASUS TUF Dash F15 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX ...,95990,1024,,59,16,2,2,4,12.0,8.0,3,64.0,15.6,0,1,2,3.763157894736842
Lenovo Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL05 Thin and Light Laptop,33990,256,,60,8,1,2,2,11.0,8.0,3,64.0,15.6,0,2,2,3.317073170731707
acer Nitro 5 Ryzen 7 Octa Core AMD R7-5800H - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics...,94990,256,"Quick Access, Acer Care Center, Acer Product Registration, NitroSense, GOTrust, PC Manager",61,16,1,0,12,,8.0,3,64.0,15.6,0,1,0,
MSI Katana GF66 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX ...,76990,512,,62,16,1,2,3,12.0,8.0,3,64.0,15.6,0,2,3,3.1666666666666665
ASUS Zenbook Flip 14 OLED (2022) Touch Panel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) UP5...,85990,512,,63,16,2,2,3,12.0,8.0,3,64.0,14.0,1,1,2,3.9152542372881354
